name,slug,ubereats_url,ubereats_status,ubereats_final_url,deliveroo_url,deliveroo_status,deliveroo_final_url,notes
42 Degrés,42-degres,,missing,,https://deliveroo.fr/fr/search?query=42+Degres,broken,https://deliveroo.fr/fr/search?query=42+Degres,Deliveroo: HTTP 404
Abattoir Végétal,abattoir-vegetal,,missing,,https://deliveroo.fr/fr/search?query=Abattoir+V%C3%A9g%C3%A9tal,broken,https://deliveroo.fr/fr/search?query=Abattoir+V%C3%A9g%C3%A9tal,Deliveroo: HTTP 404
Açaí House Paris,acai-house-paris,,missing,,https://deliveroo.fr/fr/search?query=Acai+House+Paris,broken,https://deliveroo.fr/fr/search?query=Acai+House+Paris,Deliveroo: HTTP 404
Açaí Lab,acai-lab,,missing,,https://deliveroo.fr/fr/search?query=Acai+Lab,broken,https://deliveroo.fr/fr/search?query=Acai+Lab,Deliveroo: HTTP 404
Aki Boulangerie,aki-boulangerie,,missing,,https://deliveroo.fr/fr/search?query=Aki+Boulangerie,broken,https://deliveroo.fr/fr/search?query=Aki+Boulangerie,Deliveroo: HTTP 404
Aloha Poke Bastille,aloha-poke-bastille,,missing,,https://deliveroo.fr/fr/search?query=Aloha+Poke+Bastille,broken,https://deliveroo.fr/fr/search?query=Aloha+Poke+Bastille,Deliveroo: HTTP 404
Aloha Poke Marais,aloha-poke-marais,,missing,,https://deliveroo.fr/fr/search?query=Aloha+Poke+Marais,broken,https://deliveroo.fr/fr/search?query=Aloha+Poke+Marais,Deliveroo: HTTP 404
Asian Bowl Paris,asian-bowl-paris,,missing,,https://deliveroo.fr/fr/search?query=Asian+Bowl+Paris,broken,https://deliveroo.fr/fr/search?query=Asian+Bowl+Paris,Deliveroo: HTTP 404
Athletic Plate,athletic-plate,,missing,,https://deliveroo.fr/fr/search?query=Athletic+Plate,broken,https://deliveroo.fr/fr/search?query=Athletic+Plate,Deliveroo: HTTP 404
Aztec Bowl,aztec-bowl,,missing,,https://deliveroo.fr/fr/search?query=Aztec+Bowl,broken,https://deliveroo.fr/fr/search?query=Aztec+Bowl,Deliveroo: HTTP 404
Bali Bowl Paris,bali-bowl-paris,,missing,,https://deliveroo.fr/fr/search?query=Bali+Bowl+Paris,broken,https://deliveroo.fr/fr/search?query=Bali+Bowl+Paris,Deliveroo: HTTP 404
Bao Bowl Paris,bao-bowl-paris,,missing,,https://deliveroo.fr/fr/search?query=Bao+Bowl+Paris,broken,https://deliveroo.fr/fr/search?query=Bao+Bowl+Paris,Deliveroo: HTTP 404
Bears & Raccoons,bears-and-raccoons,,missing,,https://deliveroo.fr/fr/search?query=Bears+%26+Raccoons,broken,https://deliveroo.fr/fr/search?query=Bears+%26+Raccoons,Deliveroo: HTTP 404
Bears & Raccoons Latin,bears-and-raccoons-latin,,missing,,https://deliveroo.fr/fr/search?query=Bears+Raccoons+Latin,broken,https://deliveroo.fr/fr/search?query=Bears+Raccoons+Latin,Deliveroo: HTTP 404
Beef & Greens,beef-and-greens,,missing,,https://deliveroo.fr/fr/search?query=Beef+et+Greens,broken,https://deliveroo.fr/fr/search?query=Beef+et+Greens,Deliveroo: HTTP 404
Belleville Brûlerie,belleville-brulerie,,missing,,https://deliveroo.fr/fr/search?query=Belleville+Brulerie,broken,https://deliveroo.fr/fr/search?query=Belleville+Brulerie,Deliveroo: HTTP 404
Berries Paris,berries-paris,,missing,,https://deliveroo.fr/fr/search?query=Berries+Paris,broken,https://deliveroo.fr/fr/search?query=Berries+Paris,Deliveroo: HTTP 404
Berry Bar Paris,berry-bar-paris,,missing,,https://deliveroo.fr/fr/search?query=Berry+Bar+Paris,broken,https://deliveroo.fr/fr/search?query=Berry+Bar+Paris,Deliveroo: HTTP 404
Big Fernand Bastille,big-fernand-bastille,,missing,,https://deliveroo.fr/fr/search?query=Big+Fernand+Bastille,broken,https://deliveroo.fr/fr/search?query=Big+Fernand+Bastille,Deliveroo: HTTP 404
Big Fernand Châtelet,big-fernand-chatelet,,missing,,https://deliveroo.fr/fr/search?query=Big+Fernand+Chatelet,broken,https://deliveroo.fr/fr/search?query=Big+Fernand+Chatelet,Deliveroo: HTTP 404
Big Fernand Marais,big-fernand-marais,,missing,,https://deliveroo.fr/fr/search?query=Big+Fernand+Marais,broken,https://deliveroo.fr/fr/search?query=Big+Fernand+Marais,Deliveroo: HTTP 404
Big Fernand République,big-fernand-republique,,missing,,https://deliveroo.fr/fr/search?query=Big+Fernand+Republique,broken,https://deliveroo.fr/fr/search?query=Big+Fernand+Republique,Deliveroo: HTTP 404
Big Fernand Saint-Germain,big-fernand-saint-germain,,missing,,https://deliveroo.fr/fr/search?query=Big+Fernand+Saint-Germain,broken,https://deliveroo.fr/fr/search?query=Big+Fernand+Saint-Germain,Deliveroo: HTTP 404
Bio Bistrot Marais,bio-bistrot-marais,,missing,,https://deliveroo.fr/fr/search?query=Bio+Bistrot+Marais,broken,https://deliveroo.fr/fr/search?query=Bio+Bistrot+Marais,Deliveroo: HTTP 404
Bio Bowl Marais,bio-bowl-marais,,missing,,https://deliveroo.fr/fr/search?query=Bio+Bowl+Marais,broken,https://deliveroo.fr/fr/search?query=Bio+Bowl+Marais,Deliveroo: HTTP 404
Bio C Bon Express,bio-c-bon-express,,missing,,https://deliveroo.fr/fr/search?query=Bio+C+Bon+Express,broken,https://deliveroo.fr/fr/search?query=Bio+C+Bon+Express,Deliveroo: HTTP 404
Bio C Bon Lunch,bio-c-bon-lunch,,missing,,https://deliveroo.fr/fr/search?query=Bio+C+Bon+Lunch,broken,https://deliveroo.fr/fr/search?query=Bio+C+Bon+Lunch,Deliveroo: HTTP 404
Bio Lunch Bastille,bio-lunch-bastille,,missing,,https://deliveroo.fr/fr/search?query=Bio+Lunch+Bastille,broken,https://deliveroo.fr/fr/search?query=Bio+Lunch+Bastille,Deliveroo: HTTP 404
Bioburger Beaubourg,bioburger-beaubourg,,missing,,https://deliveroo.fr/fr/search?query=Bioburger+Beaubourg,broken,https://deliveroo.fr/fr/search?query=Bioburger+Beaubourg,Deliveroo: HTTP 404
Bioburger Marais,bioburger-marais,,missing,,https://deliveroo.fr/fr/search?query=Bioburger+Marais,broken,https://deliveroo.fr/fr/search?query=Bioburger+Marais,Deliveroo: HTTP 404
Bioburger République,bioburger-republique,,missing,,https://deliveroo.fr/fr/search?query=Bioburger+Republique,broken,https://deliveroo.fr/fr/search?query=Bioburger+Republique,Deliveroo: HTTP 404
Bioburger Saint-Lazare,bioburger-saint-lazare,,missing,,https://deliveroo.fr/fr/search?query=Bioburger+Saint-Lazare,broken,https://deliveroo.fr/fr/search?query=Bioburger+Saint-Lazare,Deliveroo: HTTP 404
Blend Hermel,blend-hermel,,missing,,https://deliveroo.fr/fr/search?query=Blend+Hermel,broken,https://deliveroo.fr/fr/search?query=Blend+Hermel,Deliveroo: HTTP 404
Bob's Bake Shop,bobs-bake-shop,,missing,,https://deliveroo.fr/fr/search?query=Bob+Bake+Shop,broken,https://deliveroo.fr/fr/search?query=Bob+Bake+Shop,Deliveroo: HTTP 404
Bob's Juice Bar,bobs-juice-bar,,missing,,https://deliveroo.fr/fr/search?query=Bob+Juice+Bar,broken,https://deliveroo.fr/fr/search?query=Bob+Juice+Bar,Deliveroo: HTTP 404
Bob's Kitchen,bobs-kitchen,,missing,,https://deliveroo.fr/fr/search?query=Bob%27s+Kitchen,broken,https://deliveroo.fr/fr/search?query=Bob%27s+Kitchen,Deliveroo: HTTP 404
Boco Bourse,boco-bourse,,missing,,https://deliveroo.fr/fr/search?query=Boco+Bourse,broken,https://deliveroo.fr/fr/search?query=Boco+Bourse,Deliveroo: HTTP 404
Boco Madeleine,boco-madeleine,,missing,,https://deliveroo.fr/fr/search?query=Boco+Madeleine,broken,https://deliveroo.fr/fr/search?query=Boco+Madeleine,Deliveroo: HTTP 404
Boco Saint-Lazare,boco-saint-lazare,,missing,,https://deliveroo.fr/fr/search?query=Boco+Saint-Lazare,broken,https://deliveroo.fr/fr/search?query=Boco+Saint-Lazare,Deliveroo: HTTP 404
Body Fuel Paris,body-fuel-paris,,missing,,https://deliveroo.fr/fr/search?query=Body+Fuel+Paris,broken,https://deliveroo.fr/fr/search?query=Body+Fuel+Paris,Deliveroo: HTTP 404
Boneshaker Doughnuts,boneshaker-doughnuts,,missing,,https://deliveroo.fr/fr/search?query=Boneshaker+Doughnuts,broken,https://deliveroo.fr/fr/search?query=Boneshaker+Doughnuts,Deliveroo: HTTP 404
Bonjour Jacob,bonjour-jacob,,missing,,https://deliveroo.fr/fr/search?query=Bonjour+Jacob,broken,https://deliveroo.fr/fr/search?query=Bonjour+Jacob,Deliveroo: HTTP 404
Boot Café,boot-cafe,,missing,,https://deliveroo.fr/fr/search?query=Boot+Cafe,broken,https://deliveroo.fr/fr/search?query=Boot+Cafe,Deliveroo: HTTP 404
Bowl & Soul,bowl-and-soul,,missing,,https://deliveroo.fr/fr/search?query=Bowl+et+Soul,broken,https://deliveroo.fr/fr/search?query=Bowl+et+Soul,Deliveroo: HTTP 404
Bowl District,bowl-district,,missing,,https://deliveroo.fr/fr/search?query=Bowl+District,broken,https://deliveroo.fr/fr/search?query=Bowl+District,Deliveroo: HTTP 404
